χs	81
ɬɬ	9
ɲsʲ	11
rw	70
χʃ	7
kw	74
tw	34
ʎs	2
mw	21
sw	63
χχ	11
kʷs	4
lw	37
nw	40
sʲsʲ	4
ɲs	9
nn	105
kʷsʲ	1
χʷs	1
tsw	1
bɕ	2
t͡ɕs	1
qs	23
īsʲ	1
eː̄	2
ī	4
wsʲ	3
jw	20
dw	39
ssʲ	1
ʔw	5
nsʲ	2
zz	11
dɕ	2
rɕ	8
jɕ	14
zh	12
t̪ʃ	2
ŋʃ	11
rʃː	10
kʂ	70
ʊ̄̃	5
rʂ	18
ɕw	5
dʰw	1
ph	7
ɕh	1
hs	8
ɪ̄̃	2
ww	1
ɽʂ	1
ɣw	12
pʂ	34
xw	35
d͡ʒh	2
á	49
ʃh	12
fs	44
ɡw	121
ʂw	2
d̪d̪	9
ʒw	7
d͡ʒʃ	2
d͡zw	4
d̪w	3
nʐ	3
ʃw	8
nʂ	15
t̪t̪	1
ʒʐ	1
ɾw	12
ɾʃ	16
ɾs	84
fh	5
ɣʃ	1
hw	11
fʃ	21
χw	61
ô	18
ʒh	1
qq	5
rss	1
kʰs	30
tʰ͡z	4
tː͡ʃ	2
ɾɾ	1
tʰs	4
ɾh	8
kʰʃ	7
ɾʒ	4
jʒ	7
nːs	14
pʰʃ	4
ɫʃ	1
bʃ	6
ɫʒ	2
vsʲ	3
ɔ̂	79
û	184
ɔ̂ː	30
ǔːs	10
ûː	50
ɛ̌	190
ûs	4
ɔ̌	179
ǐː	46
r̩̂	20
ǎː	77
âː	55
ǎ	140
ɛ̌ː	24
ř̩	14
îs	15
r̩̂s	4
â	149
ǔː	49
î	170
r̩̂ː	11
ǔ	128
ǎʃ	9
îʃ	2
ɛ̂ː	10
ǐ	91
îː	86
ʋʃ	2
îːs	4
řː	2
ɔ̌ː	14
âs	4
ǐs	3
ûːʃ	1
ûːʒ	3
âːs	6
ǔːʃ	2
r̩̂ːs	2
îːʒ	1
ǎs	12
ǎːʃ	1
ř̩ːʒ	1
âʃ	5
îːʃ	2
ǐːs	25
ř̩ʒ	2
ǎːs	3
ûʃ	3
âːʒ	1
ř̩ː	2
ǔs	9
ûːs	3
âʒ	1
ǎːʒ	3
ř̩ːʃ	3
ǐːʃ	1
ǎʒ	2
ûʒ	1
r̩̂ʒ	1
lʒ	8
ʋs	6
r̩s	4
r̩ːʃ	1
l̩ːʃ	1
ɫ̩s	1
